Pressure,Temperature,x1,y1
336.6472514692781,333.15,0.92,0.9663632084873615
338.2058978072794,333.15,0.93,0.9707358865365693
339.8366476668662,333.15,0.94,0.975064764477782
341.5398634769339,333.15,0.95,0.9793476232872971
343.31592602186055,333.15,0.96,0.9835823288320834
345.16523402644594,333.15,0.97,0.9877668336384097
347.08820375294533,333.15,0.98,0.9918991784494131
349.0852686101765,333.15,0.99,0.9959774935702143
352.0090998454291,334.15,0.92,0.9663735826873949
353.6379679997044,334.15,0.93,0.970745955987482
355.34248185869313,334.15,0.94,0.9750742613199423
357.12301700036625,334.15,0.95,0.9793562707118542
358.97996837242744,334.15,0.96,0.9835898420128548
360.9137498454974,334.15,0.97,0.9877729206611945
362.92479377966805,334.15,0.98,0.9919035412362566
365.01355060435765,334.15,0.99,0.9959798287961744
367.960049497413,335.15,0.92,0.9663837986270984
369.6617913738397,335.15,0.93,0.9707558782344694
371.4428677869452,335.15,0.94,0.97508362426352
373.3036677752678,335.15,0.95,0.9793647999186134
375.2446008084828,335.15,0.96,0.9835972551552523
377.2660963069486,335.15,0.97,0.9877789284433092
379.3686031759878,335.15,0.98,0.9919078483142506
381.5525893547824,335.15,0.99,0.9959821346910103
384.51806827578724,336.15,0.92,0.9663938588175643
386.29541507222996,336.15,0.93,0.970765655592049
388.1559367507752,336.15,0.94,0.9750928553975107
390.1000361225314,336.15,0.95,0.9793732127398549
392.12813754007817,336.15,0.96,0.9836045698013658
394.2406863814041,336.15,0.97,0.9877848582008675
396.4381485500391,336.15,0.98,0.9919121005354109
398.72100999120335,336.15,0.99,0.9959844117021583
401.7015126325786,337.15,0.92,0.9664037657229786
403.55727650229034,337.15,0.93,0.9707752903315855
405.50021209438785,337.15,0.94,0.9751019567720123
407.5307363047363,337.15,0.95,0.9793815109737647
409.6492887317611,337.15,0.96,0.983611787464594
411.8563311227192,337.15,0.97,0.9877907111273482
414.1523468377205,337.15,0.98,0.9919162987358803
416.53784033126624,337.15,0.99,0.9959866602687077
419.52913163880436,338.15,0.92,0.9664135217616526
421.4662073696479,338.15,0.93,0.9707847846822413
423.4946132576813,338.15,0.94,0.9751109303990817
425.61478059555554,338.15,0.95,0.9793896963851869
427.8271645922034,338.15,0.96,0.9836189096302798
430.1322437792902,338.15,0.97,0.9877964883940965
432.53051943707896,338.15,0.98,0.9919204437362813
435.0225150394076,338.15,0.99,0.995988880821586
438.0200709510659,339.15,0.92,0.9664231293070292
440.04143766031143,339.15,0.93,0.9707941408319015
442.15845977546246,339.15,0.94,0.9751197782535705
444.3715832974734,339.15,0.95,0.9793977707063576
446.681279411861,339.15,0.96,0.9836259377563276
449.0880438530878,339.15,0.97,0.9878021911508131
451.5923962901341,339.15,0.98,0.9919245363420601
454.19487973287863,339.15,0.99,0.995991073783741
457.1938767256846,340.15,0.92,0.9664325906886605
459.30259957013544,340.15,0.93,0.9708033609280754
461.5114752236965,340.15,0.94,0.9751285022739381
463.8209647062617,340.15,0.95,0.9794057356376178
466.2315555471079,340.15,0.96,0.983632873273806
468.74376110486673,340.15,0.97,0.9878078205260299
471.35811991056994,340.15,0.98,0.991928577343821
474.0751950333133,340.15,0.99,0.9959932395703169
477.0704994788985,341.15,0.92,0.9664419081931642
479.2697313800906,341.15,0.93,0.9708124470787762
481.57379111129467,341.15,0.94,0.9751371043630452
483.9831550207155,341.15,0.95,0.9794135928481111
486.4983273493376,341.15,0.96,0.9836397175875348
489.11983950403567,341.15,0.97,0.9878133776275742
491.8482493557667,341.15,0.98,0.9919325675176529
494.68414056230483,341.15,0.99,0.9959953785888265
497.67029789164616,342.15,0.92,0.9664510840651541
499.96328127586025,342.15,0.93,0.9708214013533775
502.3659507159545,342.15,0.94,0.9751455863889272
504.87879819615574,342.15,0.95,0.9794213439764612
507.50234503753006,342.15,0.96,0.9836464720766558
510.2371411216805,342.15,0.97,0.9878188635430208
513.0837641416597,342.15,0.98,0.9919365076254467
516.042818879467,342.15,0.99,0.9959974912393181
519.0140425575161,343.15,0.92,0.9664601205081464
521.4041111103369,343.15,0.93,0.9708302257834479
